super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
31155,Adventist University Of Health Sciences,Orlando,FL,62900,39200,12.763434,0.058265973,29.661634,0.0598468,3.7858434,0.007638507,-4.6064453,-6.4156098,120.5
1441,University Of The District Of Columbia,Washington DC,DC,40000,30100,24.706467,0.023529911,15.2951,0,3.7788789,0,-3.3723872,-7.0136375,349.6666667
1469,Florida Institute Of Technology,Palm Bay,FL,86300,59600,7.329957,1.1676306,51.16753,4.1038637,3.7505581,0.30081144,8.0708008,12.86558,327
2629,"Rutgers, The State University Of New Jersey",Newark,NJ,101000,58400,7.9205556,1.1834799,47.305752,2.5410457,3.7468784,0.20126493,-1.2149863,-3.088032,6600.666667
4003,Central Texas College District,Killeen,TX,51800,37200,19.599943,0.10901452,19.0961,0.10991739,3.7428248,0.021543745,-4.5282907,-5.6717153,4605
2790,Nyack College,Newark,NY,58400,31000,18.072001,0.48255035,20.677118,0,3.7367687,0,2.5434108,2.4319952,262.6666667
1253,Fresno Pacific University,Fresno,CA,71100,37900,10.072253,0.38235998,36.892948,0.055573568,3.7159514,0.00559751,-1.5922371,-5.1782942,160.6666667
12358,Plaza College,New York,NY,29100,18800,44.500973,0.0505221,8.3288879,0.4793486,3.7064362,0.2133148,-4.1582847,-12.971676,159
2846,State University Of New York At New Paltz,Poughkeepsie,NY,91900,46300,9.8972025,0.31816196,37.273388,1.566584,3.6890223,0.155048,-4.6111708,-6.7876153,842
3563,Del Mar College,Corpus Christi,TX,52900,30100,22.380438,0.24616714,16.410892,0.011262381,3.6728296,0.00252057,-4.2844195,-3.4009047,1899.666667
1151,San Diego State University,San Diego,CA,100500,51000,8.9785795,1.8647346,40.78413,1.866205,3.6618357,0.16755871,-1.9203054,-2.9022052,3196.333333
