STATE,RATE,DEATHS
AL,19.6,958.00
AK,23.4,177.00
AZ,13.8,970.00
AR,16.9,520.00
CA,7.7,3095.00
CO,12.6,701.00
CT,5.3,189.00
DE,12.1,112.00
FL,12,2559.00
GA,14.1,1448.00
HI,3.6,55.00
ID,14.7,247.00
IL,9.5,1220.00
IN,12.7,846.00
IA,7.8,247.00
KS,11.4,330.00
KY,15.2,694.00
LA,20.4,952.00
ME,9.8,144.00
MD,11.9,708.00
MA,3,213.00
MI,11.7,1164.00
MN,7.4,410.00
MS,19.6,589.00
MO,18.1,1094.00
MT,19.2,205.00
NE,8.9,169.00
NV,14.9,446.00
NH,8.9,121.00
NJ,5.4,475.00
NM,18.6,390.00
NY,4.2,849.00
NC,12.5,1289.00
ND,12.8,92.00
OH,11.9,1397.00
OK,18,706.00
OR,11.4,486.00
PA,11.4,1485.00
RI,4.7,51.00
SC,17.3,850.00
SD,11.1,96.00
TN,16,1075.00
TX,11.7,3203.00
UT,12.8,367.00
VT,9.6,70.00
VA,10.9,946.00
WA,9.8,718.00
WV,14,278.00
WI,10.4,613.00
WY,19.6,113.00
