STATE,RATE,DEATHS
AL,22.9,1124.00
AK,24.5,180.00
AZ,15.8,1134.00
AR,20.3,613.00
CA,7.9,3184.00
CO,13.4,779.00
CT,5.1,188.00
DE,11.7,111.00
FL,12.4,2724.00
GA,15.4,1623.00
HI,2.5,39.00
ID,16.4,280.00
IL,12.1,1543.00
IN,15.3,1016.00
IA,9,293.00
KS,16,466.00
KY,16.2,730.00
LA,21.7,1008.00
ME,11.7,172.00
MD,12.3,742.00
MA,3.7,262.00
MI,11.3,1138.00
MN,8.2,465.00
MS,21.5,632.00
MO,21.5,1307.00
MT,22.5,244.00
NE,8.3,160.00
NV,16.7,508.00
NH,10.4,146.00
NJ,5.3,478.00
NM,18.5,394.00
NY,3.7,772.00
NC,13.7,1430.00
ND,13.2,103.00
OH,13.7,1589.00
OK,17.2,681.00
OR,12.1,528.00
PA,12.5,1636.00
RI,3.9,43.00
SC,17.7,893.00
SD,11.9,101.00
TN,18.4,1246.00
TX,12.4,3513.00
UT,14,410.00
VT,11.7,70.00
VA,11.9,1041.00
WA,11.1,849.00
WV,18.6,348.00
WI,10.6,624.00
WY,18.8,113.00
